City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,8.6,88,8,3.12,AU,1731181338
1,kapa'a,22.0752,-159.319,26.18,90,75,6.17,US,1731180688
2,narsipatnam,17.6667,82.6167,21.87,86,4,1.5,IN,1731181340
3,ribeira grande,38.5167,-28.7,21.22,94,40,2.68,PT,1731181341
4,shalkar,47.8288,59.6258,1.38,78,59,9.02,KZ,1731181342
5,talnakh,69.4865,88.3972,-18.9,95,56,2.63,RU,1731180951
6,lorengau,-2.0226,147.2712,26.04,83,6,0.17,PG,1731181344
7,jamestown,42.097,-79.2353,11.68,36,0,1.79,US,1731180926
8,el molino,10.6523,-72.924,28.9,67,87,1.79,CO,1731181347
9,anadyr,64.75,177.4833,-4.72,92,75,2.0,RU,1731180824
10,smithers,54.7804,-127.1743,-0.82,93,20,1.54,CA,1731181349
11,tazovsky,67.4667,78.7,-7.79,94,100,9.67,RU,1731180912
12,mar del plata,-38.0023,-57.5575,26.01,41,0,7.72,AR,1731181314
13,waitangi,-43.9535,-176.5597,14.9,94,98,2.24,NZ,1731181352
14,villa mercedes,-33.6757,-65.4578,32.35,27,0,8.05,AR,1731181353
15,urengoy,65.9667,78.3667,-6.04,95,100,7.73,RU,1731181354
16,coari,-4.085,-63.1414,33.38,45,80,1.26,BR,1731181355
17,leava,-14.3,-178.1667,27.16,78,91,7.45,WF,1731181015
18,wailua homesteads,22.0669,-159.378,25.44,89,75,6.17,US,1731181357
19,edinburgh of the seven seas,-37.0676,-12.3116,14.18,90,100,6.09,SH,1731181358
20,beau vallon,-20.4189,57.6953,25.13,83,40,2.06,MU,1731181360
21,kismayo,-0.3582,42.5454,26.77,81,4,4.95,SO,1731181362
22,dubbo,-32.25,148.6167,15.07,55,95,3.6,AU,1731181363
23,kavaratti,10.5669,72.642,28.13,72,9,0.99,IN,1731181255
24,cidreira,-30.1811,-50.2056,20.25,59,0,4.18,BR,1731181365
25,tamanrasset,22.785,5.5228,18.95,16,0,3.09,DZ,1731181201
26,iqaluit,63.7506,-68.5145,-9.15,66,75,3.6,CA,1731181367
27,kribi,2.95,9.9167,25.59,85,100,2.23,CM,1731181368
28,stanley,54.868,-1.6985,7.93,95,75,0.0,GB,1731180975
29,loreto,22.2667,-101.9667,26.21,27,0,4.03,MX,1731181370
30,adamstown,-25.066,-130.1015,22.94,87,99,8.88,PN,1731180869
31,port-aux-francais,-49.35,70.2167,5.12,92,80,10.34,TF,1731180879
32,celestun,20.8667,-90.4,28.48,74,59,4.25,MX,1731181374
33,tromso,69.6496,18.957,5.01,75,75,4.63,NO,1731181375
34,albany,42.6001,-73.9662,10.32,39,0,1.79,US,1731180852
35,maracineni,45.2,26.8,4.47,68,14,6.02,RO,1731181377
36,longyearbyen,78.2186,15.6401,-3.09,63,75,6.17,SJ,1731180931
37,awjilah,29.1081,21.2869,17.64,48,0,2.99,LY,1731180899
38,badagara,11.6,75.5833,25.01,71,99,2.93,IN,1731181380
39,puerto natales,-51.7236,-72.4875,11.25,58,75,13.89,CL,1731180875
40,yellowknife,62.456,-114.3525,-12.55,86,75,2.57,CA,1731181383
41,st. john's,47.5649,-52.7093,6.1,90,75,5.66,CA,1731181240
42,sajir,25.1825,44.5996,23.04,29,3,6.79,SA,1731181386
43,turpan,42.9333,89.1667,8.98,55,18,1.72,CN,1731181387
44,bilibino,68.0546,166.4372,-22.72,98,100,0.34,RU,1731181388
45,port lincoln,-34.7333,135.8667,14.36,78,67,5.62,AU,1731181389
46,blackmans bay,-43.0167,147.3167,10.07,78,88,0.45,AU,1731180910
47,ixtapa,20.7,-105.2,30.13,62,20,3.09,MX,1731181391
48,domna,51.8971,113.1573,-8.91,67,5,2.0,RU,1731181392
49,kiunga,-6.1219,141.2906,21.89,99,100,0.74,PG,1731181393
50,thompson,55.7435,-97.8558,8.09,49,40,6.17,CA,1731181394
51,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,1731180851
52,bikenibeu village,1.3673,173.1241,27.98,83,20,4.12,KI,1731181023
53,chipinge,-20.1883,32.6236,18.2,77,1,2.86,ZW,1731181399
54,saham,24.1722,56.8886,27.33,61,0,0.7,OM,1731181400
55,padang,-0.9492,100.3543,24.03,85,100,1.89,ID,1731181401
56,kalmunai,7.4167,81.8167,24.99,88,98,5.01,LK,1731181402
57,douentza,14.9951,-2.9517,27.72,17,3,3.01,ML,1731181403
58,santo antonio,-6.3106,-35.4789,27.2,61,28,6.95,BR,1731181404
59,san patricio,28.017,-97.5169,28.97,43,0,4.15,US,1731181405
60,nikolayevsk-on-amure,53.1406,140.73,-4.29,86,100,0.95,RU,1731181406
61,vilyuchinsk,52.9306,158.4028,-9.85,79,41,3.3,RU,1731181407
62,mount gambier,-37.8333,140.7667,8.29,93,6,1.03,AU,1731181005
63,aykhal,66.0,111.5,-14.58,93,100,7.35,RU,1731181409
64,ilulissat,69.2167,-51.1,-5.99,79,75,5.14,GL,1731180909
65,saldanha,-33.0117,17.9442,17.46,79,0,5.02,ZA,1731181412
66,hamilton,39.1834,-84.5333,17.17,52,0,3.6,US,1731180884
67,utrik,11.2278,169.8474,28.48,80,76,9.82,MH,1731181414
68,aasiaat,68.7098,-52.8699,-7.53,82,100,2.77,GL,1731180910
69,serdar,38.9764,56.2757,10.2,58,6,3.51,TM,1731181416
70,peace river,56.2501,-117.286,3.17,69,0,4.12,CA,1731181136
71,port elizabeth,-33.918,25.5701,16.84,91,0,1.54,ZA,1731181034
72,scottburgh,-30.2867,30.7532,18.94,93,100,3.16,ZA,1731181419
73,fort st. john,56.2499,-120.8529,1.94,60,20,4.12,CA,1731181420
74,tarawa,1.419,172.984,28.05,83,20,4.12,KI,1731181421
75,ormond-by-the-sea,29.3491,-81.0665,27.83,78,40,6.17,US,1731181423
76,saint-pierre,-21.3393,55.4781,23.82,73,0,1.03,RE,1731181424
77,palmas,-10.2128,-48.3603,29.93,66,75,3.6,BR,1731181258
78,rameswaram,9.2833,79.3,28.33,72,100,8.56,IN,1731181426
79,filadelfia,39.9523,-75.1638,14.66,29,20,2.57,US,1731181275
80,colonia,50.9333,6.95,9.98,87,100,2.57,DE,1731181166
81,invercargill,-46.4,168.35,8.9,90,100,0.89,NZ,1731180783
82,patterson,37.4716,-121.1297,20.53,27,81,1.95,US,1731181403
83,terrace,54.5163,-128.6035,3.95,93,75,1.54,CA,1731181431
84,kumeny,58.1089,49.9161,2.48,92,100,7.75,RU,1731181432
85,pisco,-13.7,-76.2167,21.03,64,0,5.14,PE,1731180866
86,vuktyl,63.8567,57.3094,-5.28,85,73,6.43,RU,1731181435
87,qaqortoq,60.7167,-46.0333,0.24,99,100,2.45,GL,1731181436
88,nemuro,43.3236,145.575,8.38,69,76,2.81,JP,1731181437
89,nova vicosa,-17.8919,-39.3719,26.78,79,67,5.84,BR,1731181240
90,kodiak,57.79,-152.4072,3.73,87,100,7.72,US,1731180647
91,port alfred,-33.5906,26.891,15.66,93,24,0.45,ZA,1731180992
92,puerto deseado,-47.7503,-65.8938,19.71,15,34,17.22,AR,1731181441
93,georgetown,5.4112,100.3354,27.96,78,20,2.57,MY,1731180620
94,sterling,39.0062,-77.4286,15.68,30,0,2.57,US,1731181429
95,codrington,-38.2667,141.9667,10.11,85,26,0.76,AU,1731181444
96,hilo,19.7297,-155.09,26.73,78,20,3.09,US,1731181447
97,la ronge,55.1001,-105.2842,7.14,53,40,4.63,CA,1731181448
98,alice springs,-23.7,133.8833,20.75,64,100,2.57,AU,1731181449
99,udachny,66.4167,112.4,-12.94,90,100,4.91,RU,1731180900
